Emp34Id,EmpLastName,EmpFirstName,EmpEmailAddress,EmpPositionDesc,EmpLocationCode,EmpLocationDesc,Mgr34Id,MgrName,MgrTitle,MgrEmailAddress,EmpAnnivDate,EmpPositionIsSuper,Tier,Left,Right
066PZBO,Lebsack,Julia,Lebsack.Julia@hcahealthcare.com,VP Info Mgmt & Analytics,3545,John Campbellsville Hospital,null,"Runolfsdottir, Marcelino",COO ITG,Marcelino.Runolfsdottir@hcahealthcare.com,7/7/2003,Y,1,1,116
388ALPV,Stiedemann,Victor,Stiedemann.Victor@hcahealthcare.com,AVP Data Center Ops,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,9/22/1986,Y,2,2,9
545TOSX,Block,Nayeli,Block.Nayeli@hcahealthcare.com,AVP End User Computing,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,9/20/1996,Y,2,10,17
779SDLF,Hartmann,Bertram,Hartmann.Bertram@hcahealthcare.com,AVP Big Data,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,5/23/2005,Y,2,18,57
841UDPM,Gaylord,Norene,Gaylord.Norene@hcahealthcare.com,AVP Integration Svcs,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,2/2/2004,Y,2,58,69
892XQYD,Breitenberg,Irma,Breitenberg.Irma@hcahealthcare.com,AVP,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,9/5/2000,Y,2,70,95
933VMPY,Cassin,Rose,Cassin.Rose@hcahealthcare.com,AVP Network Services,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,2/27/2006,Y,2,96,103
974WOYK,Ernser,Merl,Ernser.Merl@hcahealthcare.com,AVP Data Mgmt,3545,John Campbellsville Hospital,066PZBO,"Lebsack, Julia",VP Info Mgmt & Analytics,Julia.Lebsack@hcahealthcare.com,1/24/2006,Y,2,104,115
353SJAF,Erdman,Rolando,Erdman.Rolando@hcahealthcare.com,Mgr Solution Optimization,3545,John Campbellsville Hospital,388ALPV,"Stiedemann, Victor",AVP Data Center Ops,Victor.Stiedemann@hcahealthcare.com,2/27/2004,Y,3,3,4
384IVWV,Funk,Alexandre,Funk.Alexandre@hcahealthcare.com,Dir Data Center Ops,3545,John Campbellsville Hospital,388ALPV,"Stiedemann, Victor",AVP Data Center Ops,Victor.Stiedemann@hcahealthcare.com,10/28/2018,Y,3,5,6
